,A,B
1,AZ (rapper),Nas
2,AZ (rapper),Nas
3,AZ (rapper),Nas
4,AZ (rapper),Nas
5,AZ (rapper),Foxy Brown (rapper)
6,AZ (rapper),Jay-Z
7,AZ (rapper),Jay-Z
8,AZ (rapper),Pete Rock
9,AZ (rapper),Pete Rock
10,AZ (rapper),Buckwild (music producer)
11,AZ (rapper),Buckwild (music producer)
12,AZ (rapper),Buckwild (music producer)
13,AZ (rapper),Dr. Dre
14,AZ (rapper),DJ Premier
15,AZ (rapper),Statik Selektah
16,AZ (rapper),Ghostface Killah
0,Apani B. Fly,Mos Def
1,Apani B. Fly,Talib Kweli
2,Apani B. Fly,Pharoahe Monch
3,Apani B. Fly,MF Doom
4,Apani B. Fly,Jean Grae
0,DJ Babu,Evidence (musician)
1,DJ Babu,Evidence (musician)
2,DJ Babu,Pharoahe Monch
3,DJ Babu,Vince Staples
4,DJ Babu,Aloe Blacc
5,DJ Babu,Action Bronson
0,Bahamadia,Talib Kweli
1,Bahamadia,Talib Kweli
2,Bahamadia,Guru (rapper)
3,Bahamadia,Guru (rapper)
4,Bahamadia,Guru (rapper)
5,Bahamadia,Guru (rapper)
6,Bahamadia,Princess Superstar
7,Bahamadia,Queen Latifah
8,Bahamadia,Mr. Lif
0,Marty Baller,ASAP Ferg
1,Marty Baller,ASAP Ferg
2,Marty Baller,ASAP Ferg
3,Marty Baller,ASAP Ferg
4,Marty Baller,ASAP Ferg
5,Marty Baller,ASAP Ferg
6,Marty Baller,ASAP Ferg
7,Marty Baller,ASAP Ferg
8,Marty Baller,Smoke DZA
9,Marty Baller,ASAP Rocky
10,Marty Baller,Jay-Z
0,Charli Baltimore,Irv Gotti
1,Charli Baltimore,Irv Gotti
2,Charli Baltimore,Ja Rule
3,Charli Baltimore,Ja Rule
4,Charli Baltimore,Cam'ron
5,Charli Baltimore,Big Pun
6,Charli Baltimore,Hussein Fatal
0,Afrika Bambaataa,Busy Bee Starski
1,Afrika Bambaataa,Keef Cowboy
2,Afrika Bambaataa,Disco King Mario
3,Afrika Bambaataa,Melle Mel
0,Bodega Bamz,Salaam Remi
1,Bodega Bamz,Salaam Remi
2,Bodega Bamz,ASAP Ferg
3,Bodega Bamz,ASAP Ferg
4,Bodega Bamz,ASAP Ferg
5,Bodega Bamz,Joell Ortiz
6,Bodega Bamz,Joell Ortiz
7,Bodega Bamz,Joell Ortiz
8,Bodega Bamz,Joell Ortiz
9,Bodega Bamz,Funkmaster Flex
10,Bodega Bamz,Crystal Caines
11,Bodega Bamz,Statik Selektah
12,Bodega Bamz,6ix9ine
13,Bodega Bamz,Termanology
0,Azealia Banks,Styles P
1,Azealia Banks,RZA
2,Azealia Banks,Fetty Wap
0,Lloyd Banks,50 Cent
1,Lloyd Banks,50 Cent
2,Lloyd Banks,50 Cent
3,Lloyd Banks,50 Cent
4,Lloyd Banks,Tony Yayo
5,Lloyd Banks,Tony Yayo
6,Lloyd Banks,Dr. Dre
7,Lloyd Banks,The Game (rapper)
8,Lloyd Banks,Sha Money XL
9,Lloyd Banks,Swizz Beatz
10,Lloyd Banks,Fabolous
11,Lloyd Banks,Busta Rhymes
0,MC Paul Barman,Prince Paul (producer)
1,MC Paul Barman,Prince Paul (producer)
2,MC Paul Barman,MF Doom
3,MC Paul Barman,MF Doom
4,MC Paul Barman,MC Lyte
5,MC Paul Barman,Celestaphone
6,MC Paul Barman,Celestaphone
0,Mark Batson,50 Cent
1,Mark Batson,50 Cent
2,Mark Batson,50 Cent
3,Mark Batson,50 Cent
4,Mark Batson,50 Cent
5,Mark Batson,50 Cent
6,Mark Batson,50 Cent
7,Mark Batson,50 Cent
8,Mark Batson,50 Cent
9,Mark Batson,50 Cent
10,Mark Batson,50 Cent
11,Mark Batson,50 Cent
12,Mark Batson,50 Cent
13,Mark Batson,Jay-Z
14,Mark Batson,Jay-Z
15,Mark Batson,Jay-Z
16,Mark Batson,Jay-Z
17,Mark Batson,Jay-Z
18,Mark Batson,Jay-Z
19,Mark Batson,Nas
20,Mark Batson,Nas
21,Mark Batson,Nas
22,Mark Batson,Dr. Dre
23,Mark Batson,Dr. Dre
24,Mark Batson,Dr. Dre
25,Mark Batson,Dr. Dre
26,Mark Batson,Dr. Dre
27,Mark Batson,Busta Rhymes
28,Mark Batson,Busta Rhymes
29,Mark Batson,Busta Rhymes
30,Mark Batson,ASAP Rocky
31,Mark Batson,ASAP Rocky
32,Mark Batson,Swizz Beatz
33,Mark Batson,Swizz Beatz
34,Mark Batson,Swizz Beatz
35,Mark Batson,Snoop Dogg
36,Mark Batson,Jadakiss
37,Mark Batson,Jadakiss
38,Mark Batson,French Montana
39,Mark Batson,Remy Ma
40,Mark Batson,Pusha T
41,Mark Batson,Teyana Taylor
0,The Beat Bully,Meek Mill
1,The Beat Bully,Meek Mill
2,The Beat Bully,Meek Mill
3,The Beat Bully,Meek Mill
4,The Beat Bully,Meek Mill
5,The Beat Bully,Jahlil Beats
6,The Beat Bully,Jahlil Beats
7,The Beat Bully,French Montana
8,The Beat Bully,French Montana
9,The Beat Bully,French Montana
10,The Beat Bully,French Montana
11,The Beat Bully,French Montana
12,The Beat Bully,The Game (rapper)
13,The Beat Bully,The Game (rapper)
14,The Beat Bully,Young Chris
15,The Beat Bully,Fabolous
16,The Beat Bully,Mac Miller
17,The Beat Bully,Jadakiss
18,The Beat Bully,Jadakiss
19,The Beat Bully,Snoop Dogg
20,The Beat Bully,Sean Combs
21,The Beat Bully,Swizz Beatz
22,The Beat Bully,Wiz Khalifa
0,Jahlil Beats,Beanie Sigel
1,Jahlil Beats,Beanie Sigel
2,Jahlil Beats,Bobby Shmurda
3,Jahlil Beats,Bobby Shmurda
4,Jahlil Beats,Bobby Shmurda
5,Jahlil Beats,Bobby Shmurda
6,Jahlil Beats,Bobby Shmurda
7,Jahlil Beats,Meek Mill
8,Jahlil Beats,Meek Mill
9,Jahlil Beats,Meek Mill
10,Jahlil Beats,Meek Mill
11,Jahlil Beats,Meek Mill
12,Jahlil Beats,Meek Mill
13,Jahlil Beats,Meek Mill
14,Jahlil Beats,Meek Mill
15,Jahlil Beats,Meek Mill
16,Jahlil Beats,Meek Mill
17,Jahlil Beats,Meek Mill
18,Jahlil Beats,Sean Combs
19,Jahlil Beats,Sean Combs
20,Jahlil Beats,Sean Combs
21,Jahlil Beats,Sean Combs
22,Jahlil Beats,Sean Combs
23,Jahlil Beats,Fabolous
24,Jahlil Beats,Fabolous
25,Jahlil Beats,Fabolous
26,Jahlil Beats,Fabolous
27,Jahlil Beats,50 Cent
28,Jahlil Beats,50 Cent
29,Jahlil Beats,Lloyd Banks
30,Jahlil Beats,The Beat Bully
31,Jahlil Beats,Jay-Z
32,Jahlil Beats,Busta Rhymes
33,Jahlil Beats,Busta Rhymes
34,Jahlil Beats,Busta Rhymes
35,Jahlil Beats,French Montana
36,Jahlil Beats,French Montana
37,Jahlil Beats,French Montana
38,Jahlil Beats,French Montana
39,Jahlil Beats,Kid Ink
40,Jahlil Beats,Juelz Santana
41,Jahlil Beats,Juelz Santana
42,Jahlil Beats,Problem (rapper)
43,Jahlil Beats,Problem (rapper)
44,Jahlil Beats,Problem (rapper)
45,Jahlil Beats,Styles P
46,Jahlil Beats,Styles P
47,Jahlil Beats,Styles P
48,Jahlil Beats,Vado (rapper)
49,Jahlil Beats,Vado (rapper)
50,Jahlil Beats,Wiz Khalifa
51,Jahlil Beats,ASAP Rocky
52,Jahlil Beats,Ab-Soul
53,Jahlil Beats,Joey Badass
54,Jahlil Beats,Action Bronson
55,Jahlil Beats,Dizzy Wright
56,Jahlil Beats,Smoke DZA
57,Jahlil Beats,Jae Millz
58,Jahlil Beats,Swizz Beatz
59,Jahlil Beats,Swizz Beatz
60,Jahlil Beats,Red Café
61,Jahlil Beats,Young Chris
62,Jahlil Beats,Cory Gunz
63,Jahlil Beats,Cory Gunz
64,Jahlil Beats,Jadakiss
65,Jahlil Beats,Pusha T
66,Jahlil Beats,N.O.R.E.
67,Jahlil Beats,N.O.R.E.
68,Jahlil Beats,Casey Veggies
69,Jahlil Beats,The Game (rapper)
70,Jahlil Beats,Jay Park
71,Jahlil Beats,Dave East
0,Beedie (rapper),Mac Miller
1,Beedie (rapper),Mac Miller
2,Beedie (rapper),Mac Miller
3,Beedie (rapper),Mac Miller
4,Beedie (rapper),Wiz Khalifa
5,Beedie (rapper),Wiz Khalifa
6,Beedie (rapper),Method Man
7,Beedie (rapper),Redman (rapper)
8,Beedie (rapper),Buckwild (music producer)
9,Beedie (rapper),Buckwild (music producer)
10,Beedie (rapper),Statik Selektah
11,Beedie (rapper),Sean Price
0,Benny the Butcher,38 Spesh
1,Benny the Butcher,38 Spesh
2,Benny the Butcher,38 Spesh
3,Benny the Butcher,38 Spesh
4,Benny the Butcher,The Alchemist (musician)
5,Benny the Butcher,The Alchemist (musician)
6,Benny the Butcher,DJ Kay Slay
7,Benny the Butcher,Harry Fraud
8,Benny the Butcher,Harry Fraud
9,Benny the Butcher,Harry Fraud
10,Benny the Butcher,Hit-Boy
11,Benny the Butcher,Smoke DZA
12,Benny the Butcher,Smoke DZA
13,Benny the Butcher,Dave East
14,Benny the Butcher,Westside Gunn
15,Benny the Butcher,Westside Gunn
16,Benny the Butcher,Conway the Machine
17,Benny the Butcher,Conway the Machine
18,Benny the Butcher,Conway the Machine
19,Benny the Butcher,Black Thought
20,Benny the Butcher,Pusha T
21,Benny the Butcher,Jadakiss
22,Benny the Butcher,Jadakiss
23,Benny the Butcher,Snoop Dogg
24,Benny the Butcher,Busta Rhymes
0,Benzino,Coi Leray
1,Benzino,Coi Leray
0,Big Body Bes,Action Bronson
1,Big Body Bes,Action Bronson
2,Big Body Bes,Action Bronson
3,Big Body Bes,Knxwledge
4,Big Body Bes,Earl Sweatshirt
5,Big Body Bes,MC Eiht
6,Big Body Bes,The Alchemist (musician)
7,Big Body Bes,The Alchemist (musician)
8,Big Body Bes,Statik Selektah
9,Big Body Bes,Roc Marciano
10,Big Body Bes,Termanology
11,Big Body Bes,Mac Miller
12,Big Body Bes,Harry Fraud
0,Big Daddy Kane,Biz Markie
1,Big Daddy Kane,Marley Marl
2,Big Daddy Kane,Marley Marl
3,Big Daddy Kane,Marley Marl
4,Big Daddy Kane,Kool G Rap
5,Big Daddy Kane,Kool G Rap
6,Big Daddy Kane,Tupac Shakur
7,Big Daddy Kane,Tupac Shakur
8,Big Daddy Kane,Jay-Z
9,Big Daddy Kane,Jay-Z
10,Big Daddy Kane,KRS-One
11,Big Daddy Kane,DJ Babu
12,Big Daddy Kane,The Alchemist (musician)
13,Big Daddy Kane,DJ Premier
14,Big Daddy Kane,Black Thought
15,Big Daddy Kane,Rakim
16,Big Daddy Kane,Busta Rhymes
17,Big Daddy Kane,Joell Ortiz
18,Big Daddy Kane,The Game (rapper)
19,Big Daddy Kane,Ice Cube
20,Big Daddy Kane,MF Doom
21,Big Daddy Kane,Kool Moe Dee
22,Big Daddy Kane,Kool Moe Dee
23,Big Daddy Kane,RZA
24,Big Daddy Kane,Ice-T
0,Big Pun,Fat Joe
1,Big Pun,Fat Joe
2,Big Pun,Fat Joe
3,Big Pun,Fat Joe
4,Big Pun,Fat Joe
5,Big Pun,Cuban Link
6,Big Pun,Cuban Link
7,Big Pun,The Notorious B.I.G.
8,Big Pun,Big L
9,Big Pun,Shaquille O'Neal
10,Big Pun,Easy Mo Bee
11,Big Pun,Heavy D
12,Big Pun,Kool G Rap
13,Big Pun,KRS-One
0,Big Shug,Guru (rapper)
1,Big Shug,DJ Premier
2,Big Shug,Sean Price
3,Big Shug,Termanology
4,Big Shug,M-Dot
0,Bkorn,Chinx
1,Bkorn,Chinx
2,Bkorn,Chinx
3,Bkorn,Chinx
4,Bkorn,Chinx
5,Bkorn,Chinx
6,Bkorn,Chinx
7,Bkorn,Chinx
8,Bkorn,Chinx
9,Bkorn,Wiz Khalifa
10,Bkorn,Fabolous
11,Bkorn,French Montana
12,Bkorn,Meek Mill
0,Black Child,Irv Gotti
1,Black Child,Irv Gotti
2,Black Child,Irv Gotti
3,Black Child,Irv Gotti
4,Black Child,Irv Gotti
5,Black Child,Irv Gotti
6,Black Child,Ja Rule
7,Black Child,Ja Rule
8,Black Child,Ja Rule
9,Black Child,Ja Rule
10,Black Child,Ja Rule
11,Black Child,Ja Rule
12,Black Child,Ja Rule
13,Black Child,Ja Rule
14,Black Child,Ja Rule
15,Black Child,Ja Rule
16,Black Child,Ja Rule
17,Black Child,Ja Rule
18,Black Child,Ja Rule
19,Black Child,Ja Rule
20,Black Child,Ja Rule
21,Black Child,Ja Rule
22,Black Child,Ja Rule
23,Black Child,Ja Rule
24,Black Child,Ja Rule
25,Black Child,Ja Rule
26,Black Child,Ja Rule
27,Black Child,Jam Master Jay
28,Black Child,Jay-Z
29,Black Child,Jay-Z
30,Black Child,50 Cent
31,Black Child,50 Cent
32,Black Child,50 Cent
33,Black Child,50 Cent
34,Black Child,Tony Yayo
35,Black Child,Busta Rhymes
36,Black Child,Memphis Bleek
37,Black Child,Hussein Fatal
0,Black Rob,Sean Combs
1,Black Rob,Sean Combs
2,Black Rob,Spoonie Gee
3,Black Rob,Doug E. Fresh
4,Black Rob,Mase
5,Black Rob,The Notorious B.I.G.
6,Black Rob,Benzino
7,Black Rob,Buckwild (music producer)
8,Black Rob,Ed Lover
9,Black Rob,Sean Price
10,Black Rob,Easy Mo Bee
0,Black Thought,Malik B.
1,Black Thought,Malik B.
2,Black Thought,Jay-Z
3,Black Thought,Salaam Remi
4,Black Thought,Salaam Remi
5,Black Thought,Pusha T
6,Black Thought,Danger Mouse (musician)
7,Black Thought,Danger Mouse (musician)
8,Black Thought,MF Doom
9,Black Thought,Joey Badass
10,Black Thought,Joey Badass
11,Black Thought,Joey Badass
12,Black Thought,ASAP Rocky
13,Black Thought,Conway the Machine
14,Black Thought,Fashawn
15,Black Thought,Fashawn
16,Black Thought,Murs (rapper)
17,Black Thought,Murs (rapper)
18,Black Thought,Del the Funky Homosapien
19,Black Thought,Del the Funky Homosapien
20,Black Thought,Funkmaster Flex
21,Black Thought,Kool G Rap
22,Black Thought,Bahamadia
23,Black Thought,Pharoahe Monch
24,Black Thought,Pete Rock
25,Black Thought,Big Pun
26,Black Thought,Mos Def
27,Black Thought,Mos Def
28,Black Thought,Talib Kweli
29,Black Thought,Ghostface Killah
30,Black Thought,Styles P
31,Black Thought,Meek Mill
32,Black Thought,Young Chris
33,Black Thought,Eve (rapper)
34,Black Thought,Saigon (rapper)
35,Black Thought,Thurz
36,Black Thought,Jay Rock
37,Black Thought,Ab-Soul
38,Black Thought,Statik Selektah
39,Black Thought,Action Bronson
40,Black Thought,The Alchemist (musician)
41,Black Thought,Roc Marciano
42,Black Thought,Benny the Butcher
43,Black Thought,Q-Tip (musician)
44,Black Thought,Nas
45,Black Thought,YG (rapper)
46,Black Thought,Westside Gunn
47,Black Thought,Mach-Hommy
48,Black Thought,El-P
49,Black Thought,DJ Kay Slay
50,Black Thought,Apathy (rapper)
0,Memphis Bleek,Beanie Sigel
1,Memphis Bleek,Jay-Z
2,Memphis Bleek,Jay-Z
3,Memphis Bleek,Jay-Z
4,Memphis Bleek,Jay-Z
5,Memphis Bleek,Casanova (rapper)
6,Memphis Bleek,Casanova (rapper)
7,Memphis Bleek,Sean Price
8,Memphis Bleek,Fabolous
0,Blockhead (music producer),Aesop Rock
1,Blockhead (music producer),Aesop Rock
2,Blockhead (music producer),Aesop Rock
3,Blockhead (music producer),Aesop Rock
4,Blockhead (music producer),Aesop Rock
5,Blockhead (music producer),Aesop Rock
6,Blockhead (music producer),Murs (rapper)
7,Blockhead (music producer),Cage (rapper)
8,Blockhead (music producer),Isaiah Toothtaker
0,Action Bronson,Big Body Bes
1,Action Bronson,Big Body Bes
2,Action Bronson,Harry Fraud
3,Action Bronson,Harry Fraud
4,Action Bronson,Harry Fraud
5,Action Bronson,Joey Badass
6,Action Bronson,The Alchemist (musician)
7,Action Bronson,The Alchemist (musician)
8,Action Bronson,The Alchemist (musician)
9,Action Bronson,Statik Selektah
10,Action Bronson,Statik Selektah
11,Action Bronson,Domo Genesis
12,Action Bronson,Earl Sweatshirt
13,Action Bronson,Vince Staples
14,Action Bronson,Wiz Khalifa
15,Action Bronson,Prodigy (rapper)
16,Action Bronson,Nas
17,Action Bronson,Nas
18,Action Bronson,Kool G Rap
19,Action Bronson,Kool G Rap
20,Action Bronson,Kool G Rap
21,Action Bronson,Funkmaster Flex
22,Action Bronson,Erick Sermon
23,Action Bronson,Jahlil Beats
24,Action Bronson,Kendrick Lamar
25,Action Bronson,Roc Marciano
26,Action Bronson,Cam'ron
27,Action Bronson,Ghostface Killah
28,Action Bronson,Termanology
0,Bronx Style Bob,Ice-T
1,Bronx Style Bob,Ice-T
2,Bronx Style Bob,Ice-T
